"Escherichia coli str. K-12 substr. MG1655 - GI (Reference)","Escherichia coli str. K-12 substr. MG1655 - Locus Tag (Reference)","Escherichia coli str. K-12 substr. MG1655 - NCBI RefSeq Accession (Reference)","Escherichia coli str. K-12 substr. MG1655 - Description (Reference)","Legionella pneumophila subsp. pneumophila ATCC 43290 - ortholog count (reference : comparison)","Legionella pneumophila subsp. pneumophila ATCC 43290 - ortholuge status","Legionella pneumophila subsp. pneumophila ATCC 43290 - ortholog NCBI RefSeq accession","Campylobacter jejuni subsp. jejuni M1 - ortholog count (reference : comparison)","Campylobacter jejuni subsp. jejuni M1 - ortholuge status","Campylobacter jejuni subsp. jejuni M1 - ortholog NCBI RefSeq accession","Burkholderia multivorans ATCC 17616 NC_010801 - ortholog count (reference : comparison)","Burkholderia multivorans ATCC 17616 NC_010801 - ortholuge status","Burkholderia multivorans ATCC 17616 NC_010801 - ortholog NCBI RefSeq accession","Acinetobacter baumannii 1656-2 - ortholog count (reference : comparison)","Acinetobacter baumannii 1656-2 - ortholuge status","Acinetobacter baumannii 1656-2 - ortholog NCBI RefSeq accession","Shewanella violacea DSS12 - ortholog count (reference : comparison)","Shewanella violacea DSS12 - ortholuge status","Shewanella violacea DSS12 - ortholog NCBI RefSeq accession","Vibrio cholerae O1 biovar El Tor str. N16961 - ortholog count (reference : comparison)","Vibrio cholerae O1 biovar El Tor str. N16961 - ortholuge status","Vibrio cholerae O1 biovar El Tor str. N16961 - ortholog NCBI RefSeq accession"
"16131599","b3731","NP_418187.1","F1 sector of membrane-bound ATP synthase, epsilon subunit","1 to 1","SSD","WP_010948665.1","1 to 1","RBB","WP_002866728.1","1 to 1","RBB","WP_006401461.1","1 to 1","SSD","WP_000224542.1","1 to 1","SSD","WP_013053588.1","1 to 1","SSD","NP_232389.1"
"16131600","b3732","NP_418188.1","F1 sector of membrane-bound ATP synthase, beta subunit","1 to 1","SSD","WP_010948666.1","1 to 1","SSD","WP_002852005.1","1 to 1","RBB","WP_006401462.1","1 to 1","SSD","WP_000094481.1","1 to 1","SSD","WP_013053589.1","1 to 1","SimNSSD","NP_232390.1"
"16131601","b3733","NP_418189.1","F1 sector of membrane-bound ATP synthase, gamma subunit","1 to 1","SSD","WP_010948667.1","1 to 1","RBB","WP_002866727.1","1 to 1","RBB","WP_006401463.1","1 to 1","SSD","WP_001284971.1","1 to 1","SSD","WP_013053590.1","1 to 1","SSD","NP_232391.1"
"16131602","b3734","NP_418190.1","F1 sector of membrane-bound ATP synthase, alpha subunit","1 to 1","SSD","WP_010948668.1","1 to 1","RBB","WP_002851836.1","1 to 1","RBB","WP_006401464.1","1 to 1","SSD","WP_001186635.1","1 to 1","SSD","WP_013053591.1","1 to 1","SSD","NP_232392.1"
"16131603","b3735","NP_418191.1","F1 sector of membrane-bound ATP synthase, delta subunit","1 to 1","SSD","WP_016357053.1","1 to 1","RBB","WP_002866726.1","1 to 1","RBB","WP_006401465.1","1 to 1","SSD","WP_000818995.1","1 to 1","SSD","WP_013053592.1","1 to 1","SSD","NP_232393.1"
"16131604","b3736","NP_418192.1","F0 sector of membrane-bound ATP synthase, subunit b","1 to 1","RBB","WP_010948670.1","0","N/A","","1 to 1","RBB","WP_006401466.1","1 to 1","SSD","WP_001024691.1","1 to 1","SSD","WP_013053593.1","1 to 1","SSD","NP_232394.1"
"16131605","b3737","NP_418193.1","F0 sector of membrane-bound ATP synthase, subunit c","1 to 1","RBB","WP_010948671.1","0","N/A","","1 to 1","RBB","WP_004195828.1","1 to 1","Borderline-SSD","WP_000424060.1","1 to 1","Non-SSD","WP_011639455.1","1 to 1","Non-SSD","NP_232395.1"
"16131606","b3738","NP_418194.1","F0 sector of membrane-bound ATP synthase, subunit a","1 to 1","SSD","WP_032801983.1","1 to 1","RBB","WP_002858390.1","1 to 1","RBB","WP_006411132.1","1 to 1","SSD","WP_000718586.1","1 to 1","SSD","WP_013053594.1","1 to 1","Borderline-SSD","NP_232396.1"
"90111645","b3739","NP_418195.2","ATP synthase, membrane-bound accessory factor","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A",""
"16131608","b3740","NP_418196.1","16S rRNA m(7)G527 methyltransferase, SAM-dependent; glucose-inhibited cell-division protein","1 to 1","SSD","WP_010948576.1","1 to 1","RBB","WP_002877903.1","1 to 1","RBB","WP_012212471.1","1 to 1","SSD","WP_000553193.1","1 to 1","SSD","WP_013053598.1","1 to 1","SSD","NP_232400.1"
"16131609","b3741","NP_418197.1","5-methylaminomethyl-2-thiouridine modification at tRNA U34","1 to 1","SSD","WP_010948575.1","1 to 1","RBB","WP_014517069.1","1 to 1","RBB","WP_012212470.1","1 to 1","SSD","WP_000559183.1","1 to 1","SSD","WP_013053599.1","1 to 1","SSD","NP_232401.1"
"16131610","b3742","NP_418198.1","FMN-binding protein MioC","0","N/A","","0","N/A","","0","N/A","","0","N/A","","1 to 1","RBB","WP_013049288.1","1 to 1","RBB","NP_062586.1"
"16131611","b3743","NP_418199.1","DNA-binding transcriptional dual regulator","0","N/A","","0","N/A","","0","N/A","","0","N/A","","1 to 1","RBB","WP_013052856.1","1 to 1","RBB","NP_229730.1"
"16131612","b3744","NP_418200.1","asparagine synthetase A","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A",""
"49176398","b3745","YP_026243.1","predicted von Willibrand factor containing protein","0","N/A","","0","N/A","","0","N/A","","0","N/A","","1 to 1","RBB","WP_041419743.1","1 to 1","RBB","NP_233148.1"
"90111646","b3746","NP_418202.4","fused predicted transcriptional regulator: sigma54 activator protein/conserved protein","0","N/A","","0","N/A","","0","N/A","","0","N/A","","1 to 1","SSD","WP_013050626.1","1 to 1","RBB","NP_233149.1"
"49176400","b3747","YP_026244.1","potassium transporter","1 to 1","SSD","WP_016357009.1","0","N/A","","1 to 1","RBB","WP_006399937.1","1 to 1","SSD","WP_001181667.1","0","N/A","","1 to 1","RBB","NP_232920.1"
"90111647","b3748","NP_418204.2","predicted cytoplasmic sugar-binding protein","0","N/A","","0","N/A","","0","N/A","","0","N/A","","1 to 1","RBB","WP_013049915.1","1 to 1","RBB","NP_232528.2"
"16131617","b3749","NP_418205.1","fused D-ribose transporter subunits of ABC superfamily: ATP-binding components","1 to 6","RBB","WP_010945946.1","0","N/A","","1 to 1","RBB","WP_012216496.1","0","N/A","","1 to 1","RBB","WP_013049916.1","1 to 1","RBB","NP_232529.1"
"16131618","b3750","NP_418206.1","D-ribose transporter subunit","1 to 5","RBB","WP_010945947.1","0","N/A","","1 to 1","RBB","WP_012216635.1","0","N/A","","1 to 1","SSD","WP_041419623.1","1 to 1","SSD","NP_232530.1"
"16131619","b3751","NP_418207.1","D-ribose transporter subunit","1 to 2","RBB","WP_010945945.1","0","N/A","","2 to 1","RBB","WP_012216633.1;WP_006416551.1","0","N/A","","1 to 1","SSD","WP_013049918.1","1 to 1","SSD","NP_232531.1"
"16131620","b3752","NP_418208.1","ribokinase","0","N/A","","0","N/A","","1 to 1","RBB","WP_012213383.1","0","N/A","","1 to 1","SSD","WP_013049919.1","1 to 1","SSD","NP_232532.1"
"16131621","b3753","NP_418209.1","DNA-binding transcriptional repressor of ribose metabolism","0","N/A","","0","N/A","","1 to 2","RBB","WP_006413277.1","0","N/A","","2 to 1","RBB","WP_013049920.1","1 to 1","RBB","NP_232533.1"
"16131622","b3754","NP_418210.1","predicted multidrug or homocysteine efflux system","1 to 2","SSD","WP_011213740.1","0","N/A","","1 to 1","RBB","WP_012212845.1","0","N/A","","0","N/A","","0","N/A",""
"49176401","b3755","YP_026245.1","predicted transcriptional regulator","0","N/A","","0","N/A","","1 to 1","RBB","WP_006415078.1","0","N/A","","0","N/A","","0","N/A",""
"16131624","b3764","NP_418213.1","conserved protein, UPF0438 family","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","1 to 1","RBB","NP_233405.1"
"145698331","b3765","NP_418214.2","predicted bifunctional enzyme and transcriptional regulator","1 to 1","SSD","WP_010946327.1","1 to 1","RBB","WP_002866347.1","1 to 1","RBB","WP_012212653.1","1 to 1","SSD","WP_000010463.1","1 to 1","SSD","WP_013053211.1","1 to 1","SSD","NP_229691.1"
"16131626","b3766","NP_418215.1","ilvG operon leader peptide","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A",""
"16131627","b3769","NP_418217.1","acetolactate synthase II, small subunit","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","1 to 1","RBB","NP_229689.1"
"49176403","b3770","YP_026247.1","branched-chain amino-acid aminotransferase","1 to 1","RBB","WP_010947239.1","1 to 1","SSD","WP_002857493.1","1 to 1","RBB","WP_006398403.1","1 to 1","Non-SSD","WP_001046506.1","1 to 1","SSD","WP_013053129.1","1 to 1","SSD","NP_229688.1"
"49176404","b3771","YP_026248.1","dihydroxyacid dehydratase","0","N/A","","1 to 1","SSD","WP_002857690.1","1 to 1","RBB","WP_012217165.1","1 to 1","SSD","WP_001113596.1","1 to 1","SSD","WP_013053128.1","1 to 1","SSD","NP_229687.1"
"16131630","b3772","NP_418220.1","threonine deaminase","0","N/A","","0","N/A","","1 to 1","RBB","WP_006398295.1","1 to 1","SSD","WP_000952789.1","1 to 1","SSD","WP_013053127.1","1 to 1","SSD","NP_229686.1"
"16131631","b3773","NP_418221.1","DNA-binding transcriptional dual regulator","0","N/A","","0","N/A","","0","N/A","","0","N/A","","1 to 1","RBB","WP_013053134.1","1 to 1","Borderline-SSD","NP_229818.1"
"16131632","b3774","NP_418222.1","ketol-acid reductoisomerase, NAD(P)-binding","0","N/A","","1 to 1","Borderline-SSD","WP_002866493.1","1 to 1","RBB","WP_012213005.1","1 to 1","Non-SSD","WP_001165443.1","1 to 1","SSD","WP_013053133.1","1 to 1","Borderline-SSD","NP_229819.1"
"16131633","b3775","NP_418223.1","peptidyl-prolyl cis-trans isomerase C (rotamase C)","0","N/A","","0","N/A","","0","N/A","","1 to 1","RBB","WP_001192454.1","1 to 1","RBB","WP_005495777.1","1 to 1","SSD","NP_233337.1"
"49176407","b3778","YP_026251.1","DNA helicase and single-stranded DNA-dependent ATPase","1 to 1","RBB","WP_010948503.1","1 to 2","RBB","WP_002866122.1","1 to 1","RBB","WP_012467743.1","1 to 1","SSD","WP_000093035.1","1 to 1","SSD","WP_013053118.1","1 to 1","SSD","NP_229824.1"
"49176408","b3779","YP_026252.1","guanosine pentaphosphatase/exopolyphosphatase","0","N/A","","1 to 2","RBB","WP_002866641.1","1 to 2","RBB","WP_012213679.1","0","N/A","","2 to 1","RBB","WP_041420078.1","1 to 1","RBB","NP_229959.1"
"16131636","b3780","NP_418227.1","ATP-dependent RNA helicase","0","N/A","","0","N/A","","0","N/A","","1 to 1","RBB","WP_000200418.1","1 to 1","RBB","WP_013053091.1","1 to 1","SSD","NP_229960.1"
"67005950","b3781","NP_418228.2","thioredoxin 1","1 to 1","SSD","WP_010948620.1","1 to 1","SSD","WP_002778629.1","1 to 1","RBB","WP_006402348.1","1 to 1","SSD","WP_001276875.1","1 to 1","SSD","WP_013053092.1","1 to 1","SSD","NP_229961.1"
"16131639","b3783","NP_418230.1","transcription termination factor","1 to 1","SSD","WP_011216778.1","1 to 1","RBB","YP_005658084","1 to 1","RBB","WP_006402347.1","1 to 1","SSD","WP_001054522.1","1 to 1","SSD","WP_013053093.1","1 to 1","SSD","NP_229962.1"
"16131640","b3784","NP_418231.1","UDP-GlcNAc:undecaprenylphosphate GlcNAc-1-phosphate transferase","1 to 1","RBB","WP_032828693.1","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A",""
"90111649","b3785","NP_418232.2","Entobacterial Common Antigen (ECA) polysaccharide chain length modulation protein","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A",""
"49176409","b3786","YP_026253.1","UDP-N-acetyl glucosamine-2-epimerase","1 to 1","RBB","WP_014326733.1","0","N/A","","0","N/A","","1 to 1","RBB","WP_000718061.1","1 to 1","RBB","WP_013049902.1","1 to 1","Non-SSD","NP_230564.1"
"49176410","b3787","YP_026254.1","UDP-N-acetyl-D-mannosaminuronic acid dehydrogenase","1 to 1","Borderline-SSD","WP_014326797.1","0","N/A","","0","N/A","","1 to 1","RBB","WP_001165093.1","1 to 1","SSD","WP_013049903.1","1 to 1","Borderline-SSD","NP_230565.1"
"49176411","b3788","YP_026255.1","dTDP-glucose 4,6-dehydratase","1 to 2","Borderline-SSD","WP_014326741.1","1 to 2","RBB","WP_014517055.1","1 to 2","RBB","WP_012214049.1","0","N/A","","1 to 1","SSD","WP_013050759.1","0","N/A",""
"16131645","b3789","NP_418236.1","glucose-1-phosphate thymidylyltransferase","1 to 2","RBB","WP_016356756.1","1 to 2","RBB","WP_038402204.1","0","N/A","","0","N/A","","1 to 1","SSD","WP_013050760.1","0","N/A",""
"145698332","b3790","YP_026256.2","TDP-fucosamine acetyltransferase","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A",""
"16131647","b3791","NP_418238.1","TDP-4-oxo-6-deoxy-D-glucose transaminase","0","N/A","","0","N/A","","0","N/A","","0","N/A","","2 to 1","RBB","WP_013051205.1","0","N/A",""
"16131648","b3792","NP_418239.1","O-antigen translocase","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A",""
"16131649","b3793","NP_418241.1","predicted Wzy protein involved in ECA polysaccharide chain elongation","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A",""
"16131650","b3794","NP_418242.1","UDP-N-acetyl-D-mannosaminuronic acid transferase","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","1 to 1","RBB","NP_230574.1"
"49176414","b3795","YP_026258.1","predicted transporter","1 to 4","RBB","WP_010946705.1","0","N/A","","1 to 1","RBB","WP_006416461.1","0","N/A","","0","N/A","","0","N/A",""
"49176415","b3800","YP_026259.1","predicted regulator of arylsulfatase activity","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A",""
"16131653","b3801","NP_418245.1","acrylsulfatase-like enzyme","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A",""
"16131654","b3802","NP_418246.1","predicted protoheme IX synthesis protein","1 to 1","RBB","WP_010948436.1","0","N/A","","0","N/A","","0","N/A","","1 to 1","SSD","WP_013053107.1","1 to 1","SSD","NP_229776.1"
"16131655","b3803","NP_418247.1","predicted uroporphyrinogen III methyltransferase","1 to 1","RBB","WP_010948435.1","0","N/A","","1 to 1","RBB","WP_012212912.1","0","N/A","","1 to 1","SSD","WP_013053106.1","1 to 1","SSD","NP_229777.1"
"16131656","b3804","NP_418248.1","uroporphyrinogen III synthase","1 to 1","RBB","WP_010948434.1","0","N/A","","0","N/A","","1 to 1","RBB","WP_000897421.1","1 to 1","SSD","WP_013053105.1","1 to 1","SSD","NP_229778.1"
"49176416","b3805","YP_026260.1","hydroxymethylbilane synthase","1 to 1","SSD","WP_027223811.1","1 to 1","SSD","WP_002866427.1","1 to 1","RBB","WP_006415878.1","1 to 1","SSD","WP_031944971.1","1 to 1","SSD","WP_013053104.1","1 to 1","SSD","NP_229779.1"
"16131658","b3806","NP_418250.1","adenylate cyclase","0","N/A","","0","N/A","","0","N/A","","0","N/A","","1 to 1","SSD","WP_041420465.1","1 to 1","RBB","NP_229781.1"
"16131659","b3807","NP_418251.1","iron-dependent inhibitor of iron-sulfur cluster formation; frataxin; iron-binding and oxidizing protein","0","N/A","","0","N/A","","1 to 1","RBB","WP_006400626.1","0","N/A","","1 to 1","RBB","WP_041420080.1","1 to 1","RBB","NP_229782.1"
"90111650","b3809","NP_418254.2","diaminopimelate epimerase","1 to 1","SSD","WP_010946115.1","1 to 1","SSD","WP_002867072.1","1 to 1","RBB","WP_006402988.1","1 to 1","SSD","WP_000923487.1","1 to 1","SSD","WP_013053100.1","1 to 1","SSD","NP_229784.2"
"16131662","b3810","NP_418255.1","conserved protein, DUF484 family","0","N/A","","0","N/A","","1 to 1","RBB","WP_012214346.1","0","N/A","","1 to 1","SSD","WP_013053099.1","1 to 1","SSD","NP_229785.1"
"16131663","b3811","NP_418256.1","site-specific tyrosine recombinase","0","N/A","","1 to 2","RBB","WP_002871813.1","1 to 1","RBB","WP_012214347.1","2 to 1","SSD","WP_000445475.1;WP_000886984.1","1 to 1","SSD","WP_013053098.1","1 to 1","RBB","NP_229786.1"
"16131664","b3812","NP_418257.1","FMN phosphatase","0","N/A","","0","N/A","","0","N/A","","0","N/A","","1 to 1","RBB","WP_013053097.1","1 to 1","SSD","NP_229787.1"
"16131665","b3813","NP_418258.1","DNA-dependent ATPase I and helicase II","1 to 1","SSD","WP_010947568.1","1 to 2","RBB","WP_002866122.1","1 to 1","RBB","WP_012213564.1","0","N/A","","1 to 1","SSD","WP_013053141.1","1 to 1","SSD","NP_229847.1"
"16131666","b3816","NP_418260.1","magnesium/nickel/cobalt transporter","1 to 1","RBB","WP_010948564.1","1 to 1","RBB","WP_002799370.1","1 to 1","RBB","WP_012213312.1","1 to 1","SSD","WP_000888321.1","1 to 1","SSD","WP_013051011.1","0","N/A",""
"16131667","b3817","NP_418261.1","predicted inner membrane protein","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A",""
"90111651","b3818","NP_418262.2","conserved inner membrane protein","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A",""
"49176418","b3819","YP_026262.1","predicted chloramphenical resistance permease","0","N/A","","0","N/A","","1 to 1","RBB","WP_006397431.1","1 to 1","RBB","WP_000912045.1","1 to 1","SSD","WP_013053317.1","1 to 1","SSD","NP_229852.1"
"90111652","b3820","NP_418264.4","conserved protein, 4HBT family of thioesterases","0","N/A","","0","N/A","","0","N/A","","1 to 1","RBB","WP_002019577.1","1 to 1","SSD","WP_013053316.1","0","N/A",""
"16131671","b3821","NP_418265.1","outer membrane phospholipase A","0","N/A","","1 to 1","RBB","WP_002866769.1","0","N/A","","1 to 1","Borderline-SSD","WP_000885656.1","1 to 1","RBB","WP_041420042.1","0","N/A",""
"162135918","b3822","YP_026263.3","ATP-dependent DNA helicase","1 to 1","SSD","WP_014326830.1","0","N/A","","1 to 1","RBB","WP_012212555.1","0","N/A","","1 to 1","SSD","WP_041420112.1","1 to 1","SSD","NP_229853.2"
"49176421","b3823","YP_026264.1","threonine efflux pump","1 to 1","RBB","WP_015444579.1","0","N/A","","2 to 1","RBB","WP_006397790.1;WP_012217513.1","1 to 1","RBB","WP_000959259.1","1 to 1","RBB","WP_013051021.1","1 to 1","Borderline-SSD","NP_229848.1"
"49176422","b3824","YP_026265.1","homoserine, homoserine lactone and S-methyl-methionine efflux pump","0","N/A","","0","N/A","","1 to 1","RBB","WP_012212541.1","1 to 1","RBB","WP_000058354.1","1 to 1","SSD","WP_013053523.1","1 to 1","RBB","NP_229794.1"
"49176423","b3825","YP_026266.1","lysophospholipase L2","0","N/A","","0","N/A","","0","N/A","","0","N/A","","1 to 1","RBB","WP_041420150.1","1 to 1","RBB","NP_229793.1"
"49176424","b3826","YP_026267.1","predicted hydrolase","0","N/A","","0","N/A","","1 to 1","RBB","WP_012212507.1","0","N/A","","0","N/A","","1 to 1","SSD","NP_229792.1"
"16131676","b3827","NP_418271.1","predicted inner membrane protein","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","1 to 1","Non-SSD","NP_229734.1"
"16131677","b3828","NP_418272.1","DNA-binding transcriptional activator, homocysteine-binding","0","N/A","","0","N/A","","1 to 1","RBB","WP_012468046.1","1 to 1","SSD","WP_000890089.1","1 to 1","SSD","WP_013052735.1","1 to 1","SSD","NP_231342.1"
"16131678","b3829","NP_418273.1","5-methyltetrahydropteroyltriglutamate- homocysteine S-methyltransferase","0","N/A","","1 to 1","SSD","WP_002877092.1","1 to 1","RBB","WP_012468045.1","1 to 1","Non-SSD","WP_000735356.1","1 to 1","SSD","WP_013052734.1","1 to 1","SSD","NP_231340.1"
"49176425","b3830","YP_026268.1","predicted hydrolase","2 to 1","RBB","WP_015443975.1;WP_010948365.1","0","N/A","","1 to 1","RBB","WP_006414604.1","1 to 1","RBB","WP_000100768.1","0","N/A","","0","N/A",""
"16131680","b3831","NP_418275.1","uridine phosphorylase","1 to 1","RBB","WP_010947145.1","0","N/A","","0","N/A","","0","N/A","","1 to 1","RBB","WP_013053147.1","1 to 1","RBB","NP_230679.1"
"16131681","b3832","NP_418276.1","predicted recombination limiting protein","1 to 1","Borderline-SSD","WP_010946690.1","0","N/A","","0","N/A","","0","N/A","","1 to 1","SSD","WP_013051675.1","1 to 1","SSD","NP_229741.1"
"49176426","b3833","YP_026269.1","bifunctional 2-octaprenyl-6-methoxy-1,4-benzoquinone methylase/ S-adenosylmethionine:2-DMK methyltransferase","1 to 1","SSD","WP_010948588.1","1 to 1","RBB","WP_002854652.1","1 to 1","RBB","WP_006398300.1","1 to 1","SSD","WP_000064213.1","1 to 1","SSD","WP_013053070.1","1 to 1","SSD","NP_229742.1"
"16131683","b3834","NP_418278.1","conserved protein, SCP2 family","1 to 1","RBB","WP_015443900.1","0","N/A","","0","N/A","","0","N/A","","1 to 1","SSD","WP_013053071.1","1 to 1","RBB","NP_229743.1"
"16131684","b3835","NP_418279.1","2-octaprenylphenol hydroxylase","1 to 1","SSD","WP_010948590.1","0","N/A","","1 to 1","RBB","WP_006398303.1","1 to 1","SSD","WP_000612218.1","1 to 1","SSD","WP_013053072.1","1 to 1","SSD","NP_229744.1"
"90111653","b3836","NP_418280.4","TatABCE protein translocation system subunit","0","N/A","","0","N/A","","1 to 1","RBB","WP_006400573.1","1 to 1","SSD","WP_000908081.1","1 to 1","SSD","WP_013053073.1","1 to 1","SSD","NP_229745.1"
"49176428","b3838","YP_026270.1","TatABCE protein translocation system subunit","0","N/A","","0","N/A","","0","N/A","","1 to 1","RBB","WP_000887761.1","1 to 1","SSD","WP_013053074.1","1 to 1","SSD","NP_229746.1"
"16131687","b3839","NP_418282.1","TatABCE protein translocation system subunit","1 to 1","SSD","WP_015443882.1","1 to 1","SSD","WP_002866455.1","1 to 1","RBB","WP_006400571.1","1 to 1","SSD","WP_001072722.1","1 to 1","SSD","WP_013053075.1","1 to 1","SSD","NP_229747.1"
"16131688","b3842","NP_418284.1","DNA-binding transcriptional antiterminator","0","N/A","","0","N/A","","0","N/A","","0","N/A","","1 to 1","RBB","WP_013050743.1","1 to 1","RBB","NP_230636.1"
"16131689","b3843","NP_418285.1","3-octaprenyl-4-hydroxybenzoate decarboxylase","1 to 1","RBB","WP_010948618.1","1 to 1","RBB","WP_002866428.1","1 to 1","RBB","WP_012213943.1","0","N/A","","1 to 1","SSD","WP_013053184.1","1 to 1","RBB","NP_229964.1"
"16131690","b3844","NP_418286.1","NAD(P)H-flavin reductase","1 to 1","RBB","WP_015443881.1","0","N/A","","1 to 1","RBB","WP_012212869.1","1 to 1","RBB","WP_000510147.1","1 to 1","SSD","WP_013053185.1","1 to 1","SSD","NP_229966.1"
"49176430","b3845","YP_026272.1","3-ketoacyl-CoA thiolase (thiolase I)","1 to 2","RBB","WP_010947083.1","0","N/A","","0","N/A","","1 to 1","RBB","WP_000212712.1","1 to 1","SSD","WP_013049337.1","1 to 1","SSD","NP_232385.1"
"16131692","b3846","NP_418288.1","fused 3-hydroxybutyryl-CoA epimerase/delta(3)-cis-delta(2)-trans-enoyl-CoA isomerase/enoyl-CoA hydratase/3-hydroxyacyl-CoA dehydrogenase","1 to 2","RBB","WP_010947325.1","0","N/A","","2 to 2","RBB","WP_012213199.1;WP_012212647.1","1 to 1","SSD","WP_000580938.1","1 to 1","SSD","WP_013049338.1","1 to 1","SSD","NP_232384.1"
"16131693","b3847","NP_418289.1","proline dipeptidase","0","N/A","","0","N/A","","0","N/A","","0","N/A","","1 to 1","SSD","WP_013049339.1","0","N/A",""
"90111654","b3848","NP_418290.4","conserved protein, UPF0029 family","0","N/A","","1 to 1","SSD","WP_002866018.1","1 to 1","RBB","WP_012217135.1","1 to 1","SSD","WP_000885988.1","1 to 1","SSD","WP_013049340.1","1 to 1","SSD","NP_232383.1"
"49176432","b3849","YP_026273.1","potassium transporter","0","N/A","","0","N/A","","0","N/A","","0","N/A","","1 to 1","SSD","WP_013049341.1","1 to 1","SSD","NP_232382.1"
"16131696","b3850","NP_418292.1","protoporphyrin oxidase, flavoprotein","0","N/A","","0","N/A","","0","N/A","","0","N/A","","1 to 1","RBB","WP_013049342.1","1 to 1","SSD","NP_232381.1"
"145698333","b3856","NP_418293.2","molybdopterin-guanine dinucleotide biosynthesis protein B","0","N/A","","1 to 1","RBB","WP_002856787.1","0","N/A","","0","N/A","","0","N/A","","0","N/A",""
"16131698","b3857","NP_418294.1","molybdopterin-guanine dinucleotide synthase","0","N/A","","1 to 1","RBB","WP_002866768.1","1 to 1","RBB","WP_012213802.1","1 to 1","RBB","WP_001032654.1","1 to 1","SSD","WP_013049402.1","1 to 1","SSD","NP_231166.1"
"16131699","b3858","NP_418295.1","conserved protein","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","1 to 1","RBB","NP_229696.1"
"16131700","b3859","NP_418296.1","Thr/Ser kinase implicated in Cpx stress response","0","N/A","","0","N/A","","1 to 1","RBB","WP_012214339.1","0","N/A","","1 to 1","SSD","WP_013053226.1","1 to 1","SSD","NP_229694.2"
"16131701","b3860","NP_418297.1","periplasmic protein disulfide isomerase I","1 to 1","RBB","WP_015444948.1","2 to 1","RBB","WP_002865931.1;WP_002865934.1","1 to 1","RBB","WP_006398112.1","1 to 1","SSD","WP_000737567.1","1 to 1","SSD","WP_041420096.1","1 to 1","SSD","NP_229693.1"
"90111655","b3861","NP_418298.4","conserved protein, DUF945 family","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A",""
"16131703","b3862","NP_418299.1","inner membrane protein, Predicted acyltransferas","1 to 1","RBB","WP_010946624.1","0","N/A","","0","N/A","","1 to 1","RBB","WP_000100965.1","1 to 1","RBB","WP_013053213.1","1 to 1","SSD","NP_229692.1"
"16131704","b3863","NP_418300.1","fused DNA polymerase I 5'->3' polymerase/3'->5' exonuclease/5'->3' exonuclease","1 to 1","SSD","WP_010945860.1","1 to 1","RBB","WP_002854726.1","1 to 1","RBB","WP_012217404.1","1 to 1","SSD","WP_001134660.1","1 to 1","SSD","WP_013049374.1","1 to 1","Borderline-SSD","NP_229767.1"
"145698334","b3865","NP_418301.3","GTP-binding protein required for normal cell division","1 to 1","SSD","WP_010945886.1","1 to 1","RBB","WP_002866506.1","1 to 1","RBB","WP_006400634.1","1 to 1","SSD","WP_001254457.1","1 to 1","SSD","WP_013049373.1","1 to 1","SSD","NP_229770.1"
"16131706","b3866","NP_418302.1","activator of Der GTPase","0","N/A","","0","N/A","","0","N/A","","0","N/A","","1 to 1","RBB","WP_013049370.1","1 to 1","RBB","NP_229773.1"
"90111657","b3867","NP_418303.2","coproporphyrinogen III oxidase, SAM and NAD(P)H dependent, oxygen-independent","0","N/A","","1 to 1","RBB","WP_014517027.1","1 to 1","RBB","WP_012467510.1","0","N/A","","1 to 1","SSD","WP_041419534.1","1 to 1","SSD","NP_229775.1"
"16131708","b3868","NP_418304.1","fused DNA-binding response regulator in two-component regulatory system with GlnL: response regulator/sigma54 interaction protein","1 to 2","RBB","WP_011946713.1","1 to 3","RBB","WP_002892246.1","1 to 1","RBB","WP_012213064.1","1 to 1","SSD","WP_000089273.1","1 to 1","SSD","WP_013053385.1","1 to 1","SSD","NP_232375.1"
